,Topic: 1,Topic: 2,Topic: 3
2022-07-14,"0.004*""motorsport"" + 0.004*""grandprix"" + 0.004*""hamilton"" + 0.004*""news"" + 0.004*""sport"" + 0.004*""think"" + 0.003*""race"" + 0.003*""redbullrac"" + 0.003*""best"" + 0.003*""schecoperez""","0.004*""like"" + 0.003*""lewishamilton"" + 0.003*""drive"" + 0.003*""reev"" + 0.003*""disney"" + 0.003*""keanu"" + 0.003*""documentari"" + 0.002*""race"" + 0.002*""team"" + 0.002*""simul""","0.008*""silverston"" + 0.004*""like"" + 0.004*""blog_formula"" + 0.004*""verstappen"" + 0.003*""max"" + 0.003*""go"" + 0.003*""john"" + 0.003*""race"" + 0.003*""life"" + 0.003*""driver"""
2022-07-15,"0.019*""silverston"" + 0.010*""saudi"" + 0.007*""arabia"" + 0.004*""chrome"" + 0.004*""topp"" + 0.004*""thehobbi"" + 0.004*""like"" + 0.004*""race"" + 0.003*""drivetosurv"" + 0.003*""max""","0.006*""race"" + 0.005*""tornello"" + 0.004*""leof"" + 0.004*""blog_formula"" + 0.004*""driver"" + 0.004*""verstappen"" + 0.004*""hamilton"" + 0.004*""max"" + 0.003*""like"" + 0.003*""manag""","0.007*""blog_formula"" + 0.004*""news"" + 0.003*""racist"" + 0.003*""hamilton"" + 0.003*""reveal"" + 0.003*""race"" + 0.003*""browni"" + 0.003*""worker"" + 0.003*""abus"" + 0.003*""year"""
2022-07-16,"0.019*""alpinef"" + 0.019*""oconesteban"" + 0.018*""team"" + 0.016*""otmarout"" + 0.006*""hamilton"" + 0.005*""verstappen"" + 0.005*""race"" + 0.005*""blog_formula"" + 0.005*""max"" + 0.005*""russel""","0.007*""blog_formula"" + 0.005*""silverston"" + 0.004*""news"" + 0.004*""carlossainz"" + 0.003*""best"" + 0.003*""team"" + 0.003*""race"" + 0.003*""lewishamilton"" + 0.003*""weekend"" + 0.003*""mclaren""","0.004*""blog_formula"" + 0.004*""like"" + 0.003*""driver"" + 0.003*""know"" + 0.003*""race"" + 0.003*""lewishamilton"" + 0.003*""fran_fran"" + 0.003*""georgerussel"" + 0.003*""lewi"" + 0.002*""game"""
2022-07-17,"0.008*""naturalparadigm"" + 0.006*""race"" + 0.005*""redbullrac"" + 0.004*""weekend"" + 0.004*""motorsport"" + 0.004*""verstappen"" + 0.004*""news"" + 0.003*""hamilton"" + 0.003*""silverston"" + 0.003*""grandprix""","0.006*""blog_formula"" + 0.004*""jule"" + 0.004*""race"" + 0.004*""year"" + 0.003*""redbullrac"" + 0.003*""lewi"" + 0.003*""hamilton"" + 0.003*""go"" + 0.003*""like"" + 0.003*""miss""","0.008*""sunday"" + 0.005*""driver"" + 0.004*""like"" + 0.003*""ferrari"" + 0.003*""go"" + 0.003*""news"" + 0.003*""jule"" + 0.003*""blog_formula"" + 0.002*""bianchi"" + 0.002*""think"""
2022-07-18,"0.019*""gpfrancef"" + 0.007*""blog_formula"" + 0.006*""race"" + 0.004*""like"" + 0.004*""week"" + 0.004*""frenchgp"" + 0.003*""track"" + 0.003*""good"" + 0.003*""manag"" + 0.003*""news""","0.007*""gpfrancef"" + 0.004*""hamilton"" + 0.004*""blog_formula"" + 0.004*""like"" + 0.004*""driver"" + 0.004*""verstappen"" + 0.004*""race"" + 0.003*""best"" + 0.003*""track"" + 0.003*""team""","0.014*""landonorri"" + 0.013*""gpfrancef"" + 0.005*""race"" + 0.004*""blog_formula"" + 0.003*""french"" + 0.003*""merced"" + 0.003*""lewishamilton"" + 0.003*""year"" + 0.002*""news"" + 0.002*""bane"""
2022-07-19,"0.006*""race"" + 0.004*""hamilton"" + 0.004*""driver"" + 0.003*""team"" + 0.003*""blog_formula"" + 0.003*""frenchgp"" + 0.003*""lewi"" + 0.003*""verstappen"" + 0.003*""max"" + 0.003*""french""","0.008*""blog_formula"" + 0.005*""ocon"" + 0.004*""year"" + 0.004*""gasli"" + 0.004*""gpfrancef"" + 0.004*""think"" + 0.003*""race"" + 0.003*""driver"" + 0.003*""team"" + 0.003*""bull""","0.005*""news"" + 0.005*""like"" + 0.004*""verstappen"" + 0.004*""race"" + 0.003*""blog_formula"" + 0.003*""go"" + 0.003*""merced"" + 0.003*""mclarenf"" + 0.003*""driver"" + 0.003*""max"""
2022-07-20,"0.007*""scuderiaferrari"" + 0.005*""team"" + 0.004*""frenchgp"" + 0.004*""romeo"" + 0.004*""alfa"" + 0.003*""hamilton"" + 0.003*""race"" + 0.003*""merced"" + 0.003*""lewi"" + 0.003*""mercedesamgf""","0.005*""race"" + 0.004*""nyckdevri"" + 0.004*""driver"" + 0.004*""like"" + 0.004*""verstappen"" + 0.004*""scuderiaferrari"" + 0.004*""news"" + 0.004*""motorsport"" + 0.003*""time"" + 0.003*""team""","0.005*""tomek_poradzisz"" + 0.005*""sauberesport"" + 0.005*""formuladani"" + 0.005*""nicolaslonguet"" + 0.004*""blog_formula"" + 0.004*""nascar"" + 0.004*""mercedesamgf"" + 0.004*""indycar"" + 0.004*""race"" + 0.003*""news"""
2022-07-23,"0.016*""mercedesamgf"" + 0.016*""lewishamilton"" + 0.006*""redbullrac"" + 0.005*""goat"" + 0.005*""race"" + 0.005*""rolex"" + 0.004*""leclerc"" + 0.004*""frenchgp"" + 0.004*""ferrari"" + 0.004*""max""","0.008*""charles_leclerc"" + 0.006*""landonorri"" + 0.005*""mercedesamgf"" + 0.005*""lewishamilton"" + 0.004*""repullz"" + 0.004*""scuderiaferrari"" + 0.004*""news"" + 0.003*""driver"" + 0.003*""race"" + 0.003*""pirellisport""","0.010*""scuderiaferrari"" + 0.007*""pole"" + 0.007*""charles_leclerc"" + 0.006*""leclerc"" + 0.006*""french"" + 0.006*""lewishamilton"" + 0.005*""race"" + 0.005*""mercedesamgf"" + 0.005*""ferrari"" + 0.004*""win"""
2022-07-24,"0.019*""french"" + 0.014*""stream"" + 0.014*""race"" + 0.012*""prix"" + 0.012*""grand"" + 0.010*""link"" + 0.010*""frenchgp"" + 0.008*""free"" + 0.008*""ferrari"" + 0.007*""𝐋𝐢𝐯𝐞""","0.020*""𝐋𝐈𝐕𝐄"" + 0.018*""mercedesamgf"" + 0.017*""lewishamilton"" + 0.015*""frenchgp"" + 0.012*""franc"" + 0.011*""prix"" + 0.011*""grand"" + 0.010*""lenovo"" + 0.008*""amgmotorsport"" + 0.008*""pet_motorsport""","0.018*""link"" + 0.018*""grand"" + 0.018*""prix"" + 0.015*""frenchgp"" + 0.014*""french"" + 0.011*""lenovo"" + 0.011*""franc"" + 0.009*""lewishamilton"" + 0.008*""leclerc"" + 0.005*""mercedesamgf"""
2022-07-25,"0.010*""max"" + 0.010*""verstappen"" + 0.008*""redbullrac"" + 0.006*""lewishamilton"" + 0.005*""team"" + 0.005*""driver"" + 0.005*""mercedesamgf"" + 0.004*""ferrari"" + 0.004*""alo_ofici"" + 0.003*""race""","0.006*""redbullrac"" + 0.006*""max"" + 0.006*""lewishamilton"" + 0.005*""verstappen"" + 0.005*""team"" + 0.004*""news"" + 0.004*""race"" + 0.004*""ferrari"" + 0.004*""french"" + 0.004*""alpinef""","0.008*""team"" + 0.007*""alpinef"" + 0.006*""race"" + 0.006*""max"" + 0.006*""blog_formula"" + 0.005*""verstappen"" + 0.005*""redbullrac"" + 0.004*""ferrari"" + 0.004*""frenchgp"" + 0.004*""leclerc"""
